,SRR_id,tissue_name,STAR_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,bam_filesize_bytes,index_release,n_spots,nproc,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,star_start_time,star_end_time,deseq2_star_start_time,deseq2_star_end_time
17,SRR12649940,endometrium,92.95,2093992261,17396342212,2408041503,111,22649263,16,paired,i-09656a5c336664c5d,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endometrium/normalized_counts/SRR12649940_STAR_normalized_counts.txt,2024-02-18T13:14:30,2024-02-18T13:15:19,2024-02-18T13:15:19,2024-02-18T13:15:39,2024-02-18T13:15:39,2024-02-18T13:20:03,2024-02-18T13:20:03,2024-02-18T13:20:09
18,SRR5887662,endometrium,91.86,1183782081,7129911806,1419325278,111,25637250,16,single,i-05709995254912bb1,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endometrium/normalized_counts/SRR5887662_STAR_normalized_counts.txt,2024-02-18T13:21:32,2024-02-18T13:22:01,2024-02-18T13:22:01,2024-02-18T13:22:15,2024-02-18T13:22:15,2024-02-18T13:23:29,2024-02-18T13:23:29,2024-02-18T13:23:35
19,SRR5488704,endometrium,89.62,6514945303,33833768648,8420717876,111,47718474,16,paired,i-013a2fbf4237df8c4,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endometrium/normalized_counts/SRR5488704_STAR_normalized_counts.txt,2024-02-18T13:12:28,2024-02-18T13:14:59,2024-02-18T13:14:59,2024-02-18T13:16:01,2024-02-18T13:16:01,2024-02-18T13:22:00,2024-02-18T13:22:00,2024-02-18T13:22:05
20,SRR5488695,endometrium,87.91,5511890133,29289761148,7204489422,111,41318193,16,paired,i-0e802cce225d9829c,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endometrium/normalized_counts/SRR5488695_STAR_normalized_counts.txt,2024-02-18T13:21:26,2024-02-18T13:23:42,2024-02-18T13:23:42,2024-02-18T13:24:31,2024-02-18T13:24:31,2024-02-18T13:29:42,2024-02-18T13:29:42,2024-02-18T13:29:47
21,SRR17183384,endometrium,81.17,9661515581,90601805868,11292351750,111,101403169,16,paired,i-0770c981b28d39d8b,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endometrium/normalized_counts/SRR17183384_STAR_normalized_counts.txt,2024-02-18T13:07:13,2024-02-18T13:11:41,2024-02-18T13:11:41,2024-02-18T13:16:43,2024-02-18T13:16:43,2024-02-18T13:41:36,2024-02-18T13:41:36,2024-02-18T13:41:43
22,SRR14453822,endometrium,72.2,511924614,2404820158,518684933,111,9083587,16,single,i-04f494d0d9c7315f0,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endometrium/normalized_counts/SRR14453822_STAR_normalized_counts.txt,2024-02-18T13:12:09,2024-02-18T13:12:20,2024-02-18T13:12:20,2024-02-18T13:12:24,2024-02-18T13:12:24,2024-02-18T13:12:52,2024-02-18T13:12:52,2024-02-18T13:12:58
23,SRR14838685,endometrium,64.93,260749508,1888848288,472424288,111,3953619,16,paired,i-05709995254912bb1,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endometrium/normalized_counts/SRR14838685_STAR_normalized_counts.txt,2024-02-18T13:12:29,2024-02-18T13:12:36,2024-02-18T13:12:36,2024-02-18T13:12:38,2024-02-18T13:12:38,2024-02-18T13:13:20,2024-02-18T13:13:20,2024-02-18T13:13:26
24,SRR8984514,endometrium,60.37,5388113431,35893248264,7454704534,111,46851741,16,paired,i-09a3c2236d344b25c,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endometrium/normalized_counts/SRR8984514_STAR_normalized_counts.txt,2024-02-18T13:07:15,2024-02-18T13:09:25,2024-02-18T13:09:25,2024-02-18T13:10:32,2024-02-18T13:10:32,2024-02-18T13:25:36,2024-02-18T13:25:36,2024-02-18T13:25:43
25,SRR10387440,endothelium,92.93,7501428717,55182608136,8792091175,111,95957460,16,paired,i-073e70422fd36a0c5,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR10387440_STAR_normalized_counts.txt,2024-02-18T13:07:13,2024-02-18T13:10:04,2024-02-18T13:10:04,2024-02-18T13:12:04,2024-02-18T13:12:04,2024-02-18T13:24:31,2024-02-18T13:24:31,2024-02-18T13:24:37
26,SRR11780522,endothelium,92.57,2875685226,23222488024,3392363132,111,30196084,16,paired,i-04f494d0d9c7315f0,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR11780522_STAR_normalized_counts.txt,2024-02-18T13:17:22,2024-02-18T13:18:27,2024-02-18T13:18:27,2024-02-18T13:19:00,2024-02-18T13:19:00,2024-02-18T13:25:28,2024-02-18T13:25:28,2024-02-18T13:25:34
27,SRR10387432,endothelium,92.35,3903770589,28905773256,5224006887,111,50337955,16,paired,i-0e802cce225d9829c,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR10387432_STAR_normalized_counts.txt,2024-02-18T13:12:40,2024-02-18T13:14:12,2024-02-18T13:14:12,2024-02-18T13:15:01,2024-02-18T13:15:01,2024-02-18T13:21:14,2024-02-18T13:21:14,2024-02-18T13:21:20
28,SRR18156525,endothelium,91.86,1113988548,12595255172,1352528203,111,17413239,16,paired,i-0e802cce225d9829c,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR18156525_STAR_normalized_counts.txt,2024-02-18T13:07:07,2024-02-18T13:07:36,2024-02-18T13:07:36,2024-02-18T13:07:48,2024-02-18T13:07:48,2024-02-18T13:09:44,2024-02-18T13:09:44,2024-02-18T13:09:50
29,SRR10970615,endothelium,90.39,2045322731,15395818468,2401297303,111,20057911,16,paired,i-04f494d0d9c7315f0,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR10970615_STAR_normalized_counts.txt,2024-02-18T13:07:10,2024-02-18T13:07:56,2024-02-18T13:07:56,2024-02-18T13:08:13,2024-02-18T13:08:13,2024-02-18T13:11:59,2024-02-18T13:11:59,2024-02-18T13:12:05
30,SRR19357922,endothelium,89.62,2221471638,20654649916,2478786907,111,23342703,16,paired,i-016d94688aa71db4a,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR19357922_STAR_normalized_counts.txt,2024-02-18T13:08:07,2024-02-18T13:09:04,2024-02-18T13:09:04,2024-02-18T13:09:29,2024-02-18T13:09:29,2024-02-18T13:14:41,2024-02-18T13:14:41,2024-02-18T13:14:47
31,SRR8352443,endothelium,89.58,301197870,2646378304,457255294,111,9467224,16,single,i-0f3169f893113600d,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR8352443_STAR_normalized_counts.txt,2024-02-18T13:16:38,2024-02-18T13:16:44,2024-02-18T13:16:44,2024-02-18T13:16:49,2024-02-18T13:16:49,2024-02-18T13:17:25,2024-02-18T13:17:25,2024-02-18T13:17:30
32,SRR17848277,endothelium,88.87,2489791146,23150521484,3240372556,111,26620715,16,paired,i-016d94688aa71db4a,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR17848277_STAR_normalized_counts.txt,2024-02-18T13:17:43,2024-02-18T13:18:47,2024-02-18T13:18:47,2024-02-18T13:19:18,2024-02-18T13:19:18,2024-02-18T13:24:25,2024-02-18T13:24:25,2024-02-18T13:24:30
33,SRR8632804,endothelium,84.83,1064487163,7943633256,1895395886,111,11540980,16,paired,i-0f3169f893113600d,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR8632804_STAR_normalized_counts.txt,2024-02-18T13:07:16,2024-02-18T13:07:42,2024-02-18T13:07:42,2024-02-18T13:07:51,2024-02-18T13:07:51,2024-02-18T13:09:40,2024-02-18T13:09:40,2024-02-18T13:09:47
34,SRR9017002,endothelium,84.72,4143930522,24052476936,5392510948,111,31434070,16,paired,i-0fe013419f465b844,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR9017002_STAR_normalized_counts.txt,2024-02-18T13:13:30,2024-02-18T13:15:08,2024-02-18T13:15:08,2024-02-18T13:15:42,2024-02-18T13:15:42,2024-02-18T13:23:39,2024-02-18T13:23:39,2024-02-18T13:23:45
35,SRR9163309,endothelium,83.53,556264719,4550319296,709930798,111,6626756,16,paired,i-044bcbab96fd9f2da,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR9163309_STAR_normalized_counts.txt,2024-02-18T13:07:14,2024-02-18T13:07:27,2024-02-18T13:07:27,2024-02-18T13:07:32,2024-02-18T13:07:32,2024-02-18T13:08:47,2024-02-18T13:08:47,2024-02-18T13:08:54
36,SRR9017018,endothelium,82.67,3328054834,18874655496,4717451990,111,24692115,16,paired,i-044bcbab96fd9f2da,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR9017018_STAR_normalized_counts.txt,2024-02-18T13:15:25,2024-02-18T13:16:46,2024-02-18T13:16:46,2024-02-18T13:17:10,2024-02-18T13:17:10,2024-02-18T13:23:44,2024-02-18T13:23:44,2024-02-18T13:23:50
37,SRR14233738,endothelium,77.51,368963495,2084708644,789747382,111,11571484,16,single,i-044bcbab96fd9f2da,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR14233738_STAR_normalized_counts.txt,2024-02-18T13:09:59,2024-02-18T13:10:08,2024-02-18T13:10:08,2024-02-18T13:10:12,2024-02-18T13:10:12,2024-02-18T13:10:48,2024-02-18T13:10:48,2024-02-18T13:10:53
38,SRR14961869,endothelium,77.44,4011809677,39530537200,5265123375,111,42196890,16,paired,i-0a97cdb8dcbfea455,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR14961869_STAR_normalized_counts.txt,2024-02-18T13:07:09,2024-02-18T13:08:51,2024-02-18T13:08:51,2024-02-18T13:10:06,2024-02-18T13:10:06,2024-02-18T13:19:48,2024-02-18T13:19:48,2024-02-18T13:19:55
39,SRR8663474,endothelium,75.15,487375208,5034875288,1037986776,111,27908350,16,single,i-05709995254912bb1,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR8663474_STAR_normalized_counts.txt,2024-02-18T13:15:06,2024-02-18T13:15:20,2024-02-18T13:15:20,2024-02-18T13:15:30,2024-02-18T13:15:30,2024-02-18T13:16:37,2024-02-18T13:16:37,2024-02-18T13:16:43
40,SRR9202775,endothelium,73.43,724958278,6846632838,1725883222,111,38222387,16,single,i-05709995254912bb1,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR9202775_STAR_normalized_counts.txt,2024-02-18T13:10:22,2024-02-18T13:10:39,2024-02-18T13:10:39,2024-02-18T13:10:54,2024-02-18T13:10:54,2024-02-18T13:12:21,2024-02-18T13:12:21,2024-02-18T13:12:27
41,SRR14567625,endothelium,69.84,2687702913,24149797316,3726136996,111,27067244,16,paired,i-07915817ba71110ac,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/endothelium/normalized_counts/SRR14567625_STAR_normalized_counts.txt,2024-02-18T13:07:08,2024-02-18T13:08:08,2024-02-18T13:08:08,2024-02-18T13:08:44,2024-02-18T13:08:44,2024-02-18T13:17:05,2024-02-18T13:17:05,2024-02-18T13:17:12
42,SRR16541661,endothelium,20.8,1178231765,7703087052,1974912378,111,10093233,16,paired,i-09656a5c336664c5d,EC2,s3://neardata-star-ec2-results-low-mr/STAR/low_mapping_rate/endothelium/normalized_counts/SRR16541661_STAR_normalized_counts.txt,2024-02-18T13:20:13,2024-02-18T13:20:43,2024-02-18T13:20:43,2024-02-18T13:20:51,2024-02-18T13:20:51,2024-02-18T13:25:50,2024-02-18T13:25:50,2024-02-18T13:25:56
43,SRR16541571,endothelium,15.46,412684750,2759531636,637735811,111,3623587,16,paired,i-0e802cce225d9829c,EC2,s3://neardata-star-ec2-results-low-mr/STAR/low_mapping_rate/endothelium/normalized_counts/SRR16541571_STAR_normalized_counts.txt,2024-02-18T13:09:53,2024-02-18T13:10:03,2024-02-18T13:10:03,2024-02-18T13:10:06,2024-02-18T13:10:06,2024-02-18T13:12:33,2024-02-18T13:12:33,2024-02-18T13:12:39
44,SRR16541605,endothelium,15.24,683646513,4580321648,1068075186,111,6006820,16,paired,i-044bcbab96fd9f2da,EC2,s3://neardata-star-ec2-results-low-mr/STAR/low_mapping_rate/endothelium/normalized_counts/SRR16541605_STAR_normalized_counts.txt,2024-02-18T13:10:54,2024-02-18T13:11:10,2024-02-18T13:11:10,2024-02-18T13:11:16,2024-02-18T13:11:16,2024-02-18T13:15:18,2024-02-18T13:15:18,2024-02-18T13:15:23
45,SRR14648769,epithelium,85.61,2329109365,25597106540,3784360181,111,36954901,16,paired,i-0f3169f893113600d,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/epithelium/normalized_counts/SRR14648769_STAR_normalized_counts.txt,2024-02-18T13:09:49,2024-02-18T13:10:51,2024-02-18T13:10:51,2024-02-18T13:11:30,2024-02-18T13:11:30,2024-02-18T13:16:27,2024-02-18T13:16:27,2024-02-18T13:16:33
46,SRR5337165,epithelium,83.41,304058578,2780175356,548688734,111,5637378,16,paired,i-016d94688aa71db4a,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/epithelium/normalized_counts/SRR5337165_STAR_normalized_counts.txt,2024-02-18T13:17:02,2024-02-18T13:17:10,2024-02-18T13:17:10,2024-02-18T13:17:13,2024-02-18T13:17:13,2024-02-18T13:17:36,2024-02-18T13:17:36,2024-02-18T13:17:42
47,SRR13415505,epithelium,76.13,6466113924,38598444448,8469707693,111,50113126,16,paired,i-00a380a09811d93b2,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/epithelium/normalized_counts/SRR13415505_STAR_normalized_counts.txt,2024-02-18T13:17:27,2024-02-18T13:20:07,2024-02-18T13:20:07,2024-02-18T13:21:21,2024-02-18T13:21:21,2024-02-18T13:34:51,2024-02-18T13:34:51,2024-02-18T13:34:57
48,SRR11952102,epithelium,70.33,5989769154,46143565080,9955688816,111,68391204,16,paired,i-07915817ba71110ac,EC2,s3://neardata-star-ec2-results-low-mr/STAR/high_mapping_rate/epithelium/normalized_counts/SRR11952102_STAR_normalized_counts.txt,2024-02-18T13:17:17,2024-02-18T13:19:39,2024-02-18T13:19:39,2024-02-18T13:21:13,2024-02-18T13:21:13,2024-02-18T13:35:00,2024-02-18T13:35:00,2024-02-18T13:35:06
